ZIP Code,Duration Buyers,city,state_id,,Zip Code,CPL Payouts,city,state_id,,,Zip Code,Duraiton no GMB allowed,city,state_id
28211,$25.20,Charlotte,NC,,20036,$12.00,Washington,DC,,,91504,$19.25,Burbank,CA
28273,$25.20,Charlotte,NC,,20037,$12.00,Washington,DC,,,91505,$19.25,Burbank,CA
28277,$25.20,Charlotte,NC,,20045,$12.00,Washington,DC,,,91506,$19.25,Burbank,CA
33313,$25.20,Fort Lauderdale,FL,,20052,$12.00,Washington,DC,,,91601,$19.25,North Hollywood,CA
33322,$25.20,Fort Lauderdale,FL,,20057,$12.00,Washington,DC,,,91602,$19.25,North Hollywood,CA
33401,$25.20,West Palm Beach,FL,,20059,$12.00,Washington,DC,,,91604,$19.25,Studio City,CA
33462,$25.20,Lake Worth,FL,,20060,$12.00,Washington,DC,,,91606,$19.25,North Hollywood,CA
33463,$25.20,Lake Worth,FL,,20064,$12.00,Washington,DC,,,91607,$19.25,Valley Village,CA
33542,$25.20,Zephyrhills,FL,,20120,$12.00,Centreville,VA,,,91608,$19.25,Universal City,CA
33558,$25.20,Lutz,FL,,20121,$12.00,Centreville,VA,,,91303,$19.25,Canoga Park,CA
33614,$25.20,Tampa,FL,,20124,$12.00,Clifton,VA,,,91304,$19.25,Canoga Park,CA
34608,$25.20,Spring Hill,FL,,20151,$12.00,Chantilly,VA,,,91306,$19.25,Winnetka,CA
34652,$25.20,New Port Richey,FL,,20170,$12.00,Herndon,VA,,,91324,$19.25,Northridge,CA
78210,$25.20,San Antonio,TX,,20171,$12.00,Herndon,VA,,,91325,$19.25,Northridge,CA
90027,$25.20,Los Angeles,CA,,20190,$12.00,Reston,VA,,,91331,$19.25,Pacoima,CA
90039,$25.20,Los Angeles,CA,,20191,$12.00,Reston,VA,,,91335,$19.25,Reseda,CA
90068,$25.20,Los Angeles,CA,,20192,$12.00,Reston,VA,,,91340,$19.25,San Fernando,CA
91206,$25.20,Glendale,CA,,20194,$12.00,Reston,VA,,,91343,$19.25,North Hills,CA
92612,$25.20,Irvine,CA,,20210,$12.00,Washington,DC,,,91345,$19.25,Mission Hills,CA
98008,$25.20,Bellevue,WA,,20217,$12.00,Washington,DC,,,91352,$19.25,Sun Valley,CA
98028,$25.20,Kenmore,WA,,20220,$12.00,Washington,DC,,,91371,$19.25,Woodland Hills,CA
98075,$25.20,Sammamish,WA,,20224,$12.00,Washington,DC,,,91401,$19.25,Van Nuys,CA
98112,$25.20,Seattle,WA,,20230,$12.00,Washington,DC,,,91402,$19.25,Panorama City,CA
98118,$25.20,Seattle,WA,,20240,$12.00,Washington,DC,,,91405,$19.25,Van Nuys,CA
98119,$25.20,Seattle,WA,,20245,$12.00,Washington,DC,,,91406,$19.25,Van Nuys,CA
10009,$24.90,New York,NY,,20303,$12.00,Washington,DC,,,91411,$19.25,Van Nuys,CA
10013,$24.90,New York,NY,,20306,$12.00,Washington,DC,,,91605,$19.25,North Hollywood,CA
11201,$24.90,Brooklyn,NY,,20317,$12.00,Washington,DC,,,93065,$19.25,Simi Valley,CA
75060,$23.94,Irving,TX,,20372,$12.00,Washington,DC,,,91360,$19.25,Thousand Oaks,CA
75104,$23.94,Cedar Hill,TX,,20374,$12.00,Naval Anacost Annex,DC,,,93064,$19.25,Brandeis,CA
76001,$23.94,Arlington,TX,,20376,$12.00,Naval Anacost Annex,DC,,,92074,$19.25,Santee,CA
76020,$23.94,Azle,TX,,20390,$12.00,Washington,DC,,,97003,$17.05,Beaverton,OR
76040,$23.94,Euless,TX,,20392,$12.00,Washington,DC,,,97005,$17.05,Beaverton,OR
76078,$23.94,Rhome,TX,,20401,$12.00,Washington,DC,,,97006,$17.05,Beaverton,OR
76137,$23.94,Fort Worth,TX,,20405,$12.00,Washington,DC,,,97007,$17.05,Beaverton,OR
76262,$23.94,Roanoke,TX,,20408,$12.00,Washington,DC,,,97008,$17.05,Beaverton,OR
94022,$23.94,Los Altos,CA,,20415,$12.00,Washington,DC,,,97015,$17.05,Clackamas,OR
94025,$23.94,Menlo Park,CA,,20418,$12.00,Washington,DC,,,97027,$17.05,Gladstone,OR
94027,$23.94,Atherton,CA,,20422,$12.00,Washington,DC,,,97034,$17.05,Lake Oswego,OR
94041,$23.94,Mountain View,CA,,20431,$12.00,Washington,DC,,,97035,$17.05,Lake Oswego,OR
95608,$23.94,Carmichael,CA,,20433,$12.00,Washington,DC,,,97045,$17.05,Oregon City,OR
95610,$23.94,Citrus Heights,CA,,20500,$12.00,Washington,DC,,,97062,$17.05,Tualatin,OR
95630,$23.94,Folsom,CA,,20502,$12.00,Washington,DC,,,97068,$17.05,West Linn,OR
95661,$23.94,Roseville,CA,,20510,$12.00,Washington,DC,,,97070,$17.05,Wilsonville,OR
95670,$23.94,Rancho Cordova,CA,,20520,$12.00,Washington,DC,,,97078,$17.05,Beaverton,OR
95747,$23.94,Roseville,CA,,20529,$12.00,Washington,DC,,,97086,$17.05,Happy Valley,OR
95814,$23.94,Sacramento,CA,,20530,$12.00,Washington,DC,,,97089,$17.05,Damascus,OR
